x,y,z,vx,vy,vz
1.0,0.0,0.7499999999993636,20.000000000059128,19.999999999970584,17.961654714106295
1.0,0.0,0.9999999999991893,20.000000000100364,19.999999999953424,17.282206285482754
1.0,0.0,1.249999999998971,20.00000000014935,19.999999999932424,16.602757856866482
1.0,0.0,1.499999999998285,20.000000000208622,19.999999999903146,15.923309428247531
1.0,0.0,1.749999999997556,20.000000000273523,19.999999999886004,15.243860999606408
1.0,0.0,1.999999999996827,20.00000000035894,19.99999999986244,14.564412570956945
1.0,0.0,2.249999999996097,20.000000000459043,19.999999999827992,13.884964142332478
1.0,0.0,2.499999999995368,20.000000000567834,19.999999999796596,13.205515713695394
1.0,0.0,2.749999999994639,20.00000000068674,19.999999999760973,12.526067285080098
1.0,0.0,2.99999999999391,20.00000000081336,19.99999999972923,11.846618856450693
